# z [m]         T [K]         P [Pa]        rho [kg/m^3]  H2O [kg/kg]   CO2 [kg/kg]   O3 [kg/kg]    CH4 [kg/kg]   
  4.700000e+04  2.706500e+02  1.047254e+02  1.356830e-03  4.629872e-05  6.282761e-04  1.169016e-07  1.033649e-06 
  4.800000e+04  2.706500e+02  9.222609e+01  1.194888e-03  4.629872e-05  6.282761e-04  8.322234e-08  1.033649e-06 
  4.900000e+04  2.706500e+02  8.121862e+01  1.052274e-03  4.629872e-05  6.282761e-04  6.585084e-08  1.033649e-06 
  5.000000e+04  2.706500e+02  7.152493e+01  9.266820e-04  4.629872e-05  6.282761e-04  5.726612e-08  1.033649e-06 
  5.100000e+04  2.706500e+02  6.298821e+01  8.160797e-04  4.629872e-05  6.282761e-04  5.320023e-08  1.033649e-06 
  5.200000e+04  2.678500e+02  5.543373e+01  7.257111e-04  4.629872e-05  6.282761e-04  5.135422e-08  1.033649e-06 
  5.300000e+04  2.650500e+02  4.871984e+01  6.445540e-04  4.629872e-05  6.282761e-04  5.055058e-08  1.033649e-06 
  5.400000e+04  2.622500e+02  4.276043e+01  5.717523e-04  4.629872e-05  6.282761e-04  5.021507e-08  1.033649e-06 
  5.500000e+04  2.594500e+02  3.747746e+01  5.065214e-04  4.629872e-05  6.282761e-04  5.008072e-08  1.033649e-06 
  5.600000e+04  2.566500e+02  3.280022e+01  4.481432e-04  4.629872e-05  6.282761e-04  5.002911e-08  1.033649e-06 
  5.700000e+04  2.538500e+02  2.866476e+01  3.959611e-04  4.629872e-05  6.282761e-04  5.001008e-08  1.033649e-06 
  5.800000e+04  2.510500e+02  2.501328e+01  3.493750e-04  4.629872e-05  6.282761e-04  5.000336e-08  1.033649e-06 
  5.900000e+04  2.482500e+02  2.179362e+01  3.078374e-04  4.629872e-05  6.282761e-04  5.000107e-08  1.033649e-06 
  6.000000e+04  2.454500e+02  1.895873e+01  2.708492e-04  4.629872e-05  6.282761e-04  5.000033e-08  1.033649e-06 
